Hsz-NTRK1 2000 1000 T083824-NTRK1
rank,node,Fabs,Frel,Class
113,t189951,1797,0.894029850746,??
114,t124575,1798,0.893638170974,??
115,t145165,1790,0.8927680798,??
116,t188138,1793,0.892483822797,??
117,t196360,1791,0.892376681614,??
118,t183293,1789,0.890492782479,??
119,t041489,1784,0.889332003988,??
120,t011701,1784,0.888888888889,??
121,t131116,1785,0.88717693837,??
122,t149732,1779,0.884634510194,??
123,t157744,1774,0.883466135458,??
124,t050431,1771,0.881533101045,??
125,t157583,1768,0.879164594729,??
126,t054290,1755,0.874439461883,??
127,t084209,1756,0.873197414222,??
128,t135784,1747,0.868722028841,??
129,t164145,1745,0.867727498757,??
130,t095073,1741,0.865738438588,??
131,t010990,1735,0.861897665176,??
132,t046880,1721,0.855793137742,??
133,t015311,1714,0.854010961634,??
134,t201267,1718,0.853876739563,??
135,t088513,1712,0.852165256346,??
136,t130148,1708,0.850174216028,??
137,t110030,1701,0.84880239521,??
138,t189942,1703,0.84768541563,??
139,t170055,1697,0.845540607872,??
140,t156852,1697,0.844698855152,??
141,t131675,1695,0.84328358209,??
142,t180954,1692,0.842210054754,??
143,t053251,1692,0.841791044776,??
144,t199658,1690,0.839960238569,??
145,t192387,1676,0.835077229696,??
146,t070903,1673,0.83275261324,??
147,t131678,1666,0.831337325349,??
148,t050199,1661,0.828015952144,??
149,t055703,1662,0.827689243028,??
150,t138425,1661,0.825546719682,??
151,t032379,1660,0.825049701789,??
152,t087886,1653,0.823617339312,??
153,t116788,1654,0.821251241311,??
154,t180866,1649,0.81958250497,??
155,t074383,1640,0.818363273453,??
156,t163714,1643,0.817819810851,??
157,t159844,1633,0.81405782652,??
158,t087874,1622,0.806563898558,??
159,t173339,1615,0.805486284289,??
160,t066631,1616,0.803980099502,??
161,t103679,1612,0.802788844622,??
162,t105374,1616,0.802383316783,??
163,t097407,1614,0.801390268123,??
164,t082216,1603,0.799102691924,??
165,t028759,1608,0.798807749627,??
166,t190149,1605,0.798507462687,??
167,t067736,1593,0.792143212332,??
168,t054878,1593,0.792143212332,??
169,t201268,1585,0.789342629482,??
170,t087126,1587,0.787593052109,??
171,t133695,1580,0.786852589641,??
172,t011146,1570,0.783042394015,??
173,t190515,1572,0.782089552239,??
174,t198549,1572,0.780923994039,??
175,t052970,1568,0.780876494024,??
176,t190016,1561,0.777777777778,??
177,t045954,1563,0.777225261064,??
178,t067735,1561,0.776616915423,??
179,t195836,1552,0.771371769384,??
180,t021072,1545,0.770189431705,??
181,t173340,1546,0.769920318725,??
182,t000988,1546,0.769920318725,??
183,t025574,1549,0.769880715706,??
184,t163231,1546,0.769537083126,??
185,t117192,1549,0.769116186693,??
186,t070341,1545,0.768274490303,??
187,t182422,1542,0.767164179104,??
188,t140345,1540,0.765788165092,??
189,t074590,1540,0.765407554672,??
190,t046631,1531,0.762830094669,??
191,t041275,1535,0.762543467462,??
192,t074629,1533,0.761928429423,??
193,t101640,1527,0.761596009975,??
194,t182670,1531,0.760934393638,??
195,t083817,1526,0.759581881533,??
196,t121669,1521,0.757093081135,??
197,t140347,1518,0.754848334162,??
198,t028202,1512,0.751864743909,??
199,t059882,1512,0.751864743909,??
200,t168560,1500,0.747756729811,??
201,t016341,1499,0.746142359383,??
202,t006149,1498,0.745273631841,??
203,t034251,1495,0.744892874938,??
204,t177115,1498,0.744532803181,??
205,t157743,1494,0.744394618834,??
206,t134556,1492,0.744139650873,??
207,t129888,1489,0.742273180459,??
208,t159025,1493,0.74131082423,??
209,t077876,1493,0.74131082423,??
210,t138712,1489,0.741164758586,??
211,t027063,1481,0.736815920398,??
212,t092297,1480,0.735586481113,??
213,t160357,1474,0.734429496761,??
214,t080097,1469,0.731938216243,??
215,t034519,1469,0.730845771144,??
216,t160998,1470,0.730616302187,??
217,t095074,1461,0.727227476356,??
218,t038362,1459,0.726593625498,??
219,t059881,1461,0.726504226753,??
220,t200652,1457,0.723076923077,??
221,t073387,1448,0.720756595321,??
222,t078722,1447,0.719542516161,??
223,t199364,1444,0.717693836978,??
224,t146418,1437,0.716708229426,??
225,t108533,1424,0.710224438903,??
226,t131873,1416,0.705179282869,??
227,t023476,1417,0.704624564893,??
228,t090569,1413,0.704035874439,??
229,t085407,1412,0.700396825397,??
230,t117613,1406,0.700199203187,??
231,t037624,1405,0.699701195219,??
232,t104216,1405,0.699352911896,??
233,t074592,1402,0.698555057299,??
234,t090433,1399,0.69740777667,??
235,t044254,1398,0.69517652909,??
236,t030137,1388,0.691579471849,??
237,t122115,1390,0.691542288557,??
238,t006148,1390,0.691198408752,??
239,t137978,1385,0.688712083541,??
240,t149451,1384,0.688214818498,??
241,t071928,1382,0.687220288414,??
242,t133680,1378,0.685572139303,??
243,t080787,1373,0.683424589348,??
244,t137403,1367,0.681795511222,??
245,t182769,1371,0.681411530815,??
246,t026841,1365,0.679442508711,??
247,t043742,1364,0.678606965174,??
248,t160352,1361,0.676777722526,??
249,t039519,1361,0.676777722526,??
250,t017183,1360,0.676280457484,??
251,t003176,1356,0.675298804781,??
252,t096935,1354,0.674975074776,??
253,t018079,1352,0.673642252118,??
254,t052047,1350,0.673316708229,??
255,t200037,1349,0.672817955112,??
256,t154082,1346,0.669318746892,??
257,t052892,1338,0.666334661355,??
258,t136107,1340,0.66567312469,??
259,t138421,1334,0.663351566385,??
260,t090314,1331,0.662189054726,??
261,t003173,1332,0.66137040715,??
262,t136110,1326,0.660687593423,??
263,t077189,1326,0.660029865605,??
264,t170114,1323,0.659192825112,??
265,t027885,1321,0.656887120835,??
266,t182669,1318,0.656374501992,??
267,t095069,1316,0.65407554672,??
268,t034520,1314,0.654056744649,??
269,t171494,1311,0.652888446215,??
270,t034477,1310,0.65141720537,??
271,t176961,1300,0.648055832502,??
272,t180052,1304,0.647146401985,??
273,t189304,1294,0.643781094527,??
274,t155273,1285,0.639940239044,??
275,t120128,1276,0.634825870647,??
276,t088675,1272,0.634097706879,??
277,t128768,1274,0.632571996028,??
278,t184545,1270,0.632155301145,??
279,t094880,1269,0.631972111554,??
280,t019381,1265,0.629980079681,??
281,t170054,1264,0.628855721393,??
282,t134609,1254,0.626373626374,??
283,t071137,1257,0.625996015936,??
284,t172932,1256,0.625809666168,??
285,t085716,1255,0.625,??
286,t124507,1255,0.62468889995,??
287,t200603,1250,0.622820129547,??
288,t088332,1250,0.620347394541,??
289,t092560,1246,0.618976651764,??
290,t073068,1234,0.614848031888,??
291,t070339,1232,0.614770459082,??
292,t009326,1237,0.614505712866,??
293,t021712,1230,0.614078881677,??
294,t096892,1229,0.61144278607,??
295,t094872,1228,0.6112493778,??
296,t186958,1226,0.609343936382,??
297,t044283,1220,0.608478802993,??
298,t091437,1223,0.607852882704,??
299,t189771,1218,0.605668821482,??
300,t199566,1218,0.605067064083,??
301,t050500,1211,0.603087649402,??
302,t070350,1203,0.598507462687,??
303,t171631,1203,0.597912524851,??
304,t141729,1199,0.59681433549,??
305,t026441,1189,0.592721834497,??
306,t053048,1187,0.591135458167,??
307,t025059,1188,0.591044776119,??
308,t158916,1185,0.59072781655,??
309,t109465,1185,0.589259075087,??
310,t047018,1185,0.589259075087,??
311,t181079,1183,0.588264545002,??
312,t062227,1178,0.586653386454,??
313,t077314,1177,0.585572139303,??
314,t192771,1177,0.585280954749,??
315,t087356,1172,0.581060981656,??
316,t097941,1165,0.580179282869,??
317,t049245,1163,0.578606965174,??
318,t005570,1158,0.576119402985,??
319,t078515,1155,0.573485600794,??
320,t184496,1149,0.572211155378,??
321,t032386,1149,0.571641791045,??
322,t060473,1144,0.570573566085,??
323,t184034,1143,0.568373943312,??
324,t123524,1140,0.567446490791,??
325,t140346,1135,0.56608478803,??
326,t111020,1132,0.564025909317,??
327,t100814,1127,0.562375249501,??
328,t148512,1130,0.561630218688,??
329,t020089,1124,0.560598503741,??
330,t154771,1125,0.560538116592,??
331,t147622,1123,0.558151093439,??
332,t001548,1118,0.556218905473,??
333,t125670,1118,0.556218905473,??
334,t188596,1119,0.556163021869,??
335,t122315,1115,0.555555555556,??
336,t010959,1114,0.555057299452,??
337,t188595,1115,0.554726368159,??
338,t117166,1113,0.554006968641,??
339,t069493,1108,0.549875930521,??
340,t099698,1103,0.549029367845,??
341,t088231,1104,0.548980606663,??
342,t147623,1103,0.548756218905,??
343,t149262,1104,0.548707753479,??
344,t034763,1098,0.547085201794,??
345,t200057,1087,0.53999006458,??
346,t166210,1079,0.538423153693,??
347,t127853,1077,0.535554450522,??
348,t150085,1071,0.533898305085,??
349,t074594,1065,0.529850746269,??
350,t061674,1060,0.528942115768,??
351,t164125,1061,0.528386454183,??
352,t195042,1056,0.527472527473,??
353,t198511,1052,0.523643603783,??
354,t194485,1050,0.521868787276,??
355,t125929,1047,0.521154803385,??
356,t196559,1044,0.519661523146,??
357,t171470,1037,0.515663848831,??
358,t114699,1036,0.515422885572,??
359,t059214,1033,0.514442231076,??
