T001700,p9@GRK5
T001710,p3@DHTKD1
T001711,p2@DHTKD1
T001712,p1@DHTKD1
T001720,p3@RGS10
T001721,p4@RGS10
T001723,p2@RGS10
T001724,p1@RGS10
T001727,p25@TIAL1
T001729,p6@TIAL1
T001730,p1@TIAL1
T001731,p5@TIAL1
T001732,p26@TIAL1
T001733,p7@TIAL1
T001734,p2@TIAL1
T001735,p3@TIAL1
T001736,p4@TIAL1
T001737,p24@TIAL1
T001739,p1@BAG3
T001740,p3@BAG3
T001741,p4@BAG3
T001742,p6@BAG3
T001743,p7@BAG3
T001744,p5@BAG3
T001745,p2@BAG3
T001755,p2@INPP5F
T001756,p3@INPP5F
T001757,p4@INPP5F
T001758,p5@INPP5F
T001759,p8@INPP5F
T001760,p1@INPP5F
T001761,p6@INPP5F
T001762,p7@INPP5F
T001763,p10@INPP5F
T001764,p11@INPP5F
T001768,p2@MCMBP
T001769,p1@MCMBP
T001771,p3@MCMBP
T001772,p3@SEC23IP
T001773,p4@SEC23IP
T001774,p2@SEC23IP
T001775,p1@SEC23IP
T001776,p1@SEC61A2
T001777,p2@SEC61A2
T001787,p3@SEC61A2
T001791,p5@PPAPDC1A
T001792,p6@PPAPDC1A
T001793,p7@PPAPDC1A
T001794,p8@PPAPDC1A
T001795,p9@PPAPDC1A
T001796,p10@PPAPDC1A
T001797,p1@PPAPDC1A
T001798,p2@NUDT5
T001799,p1@NUDT5
T001800,p3@CDC123
T001801,p2@CDC123
T001802,p3@NUDT5
T001803,p1@CDC123
T001811,p3@WDR11
T001812,p4@WDR11
T001813,p1@WDR11
T001814,p5@WDR11
T001816,p2@WDR11
T001826,p4@CDC123
T001838,p9@FGFR2
T001843,p13@FGFR2
T001847,p6@FGFR2
T001848,p2@FGFR2
T001849,p1@FGFR2
T001850,p7@FGFR2
T001851,p4@FGFR2
T001852,p3@FGFR2
T001853,p5@FGFR2
T001856,p12@ADARB2
T001857,p5@ADARB2
T001860,p4@ATE1
T001861,p7@ATE1
T001862,p3@ATE1
T001863,p1@ATE1
T001867,p2@ATE1
T001869,p3@NSMCE4A
T001870,p1@NSMCE4A
T001871,p2@NSMCE4A
T001873,p8@TACC2
T001874,p23@TACC2
T001875,p30@TACC2
T001876,p31@TACC2
T001877,p15@TACC2
T001878,p9@TACC2
T001879,p7@TACC2
T001881,p52@TACC2
T001882,p49@TACC2
T001883,p20@TACC2
T001884,p34@TACC2
T001885,p21@TACC2
T001886,p10@TACC2
T001887,p19@TACC2
T001895,p5@TACC2
T001896,p2@TACC2
T001897,p13@TACC2
T001898,p1@TACC2
T001899,p29@TACC2
T001900,p33@TACC2
T001902,p6@TACC2
T001904,p6@CAMK1D
T001905,p1@CAMK1D
T001906,p4@CAMK1D
T001907,p5@CAMK1D
T001909,p2@CAMK1D
T001910,p3@CAMK1D
T001911,p11@CAMK1D
T001912,p11@TACC2
T001913,p4@TACC2
T001914,p16@TACC2
T001915,p3@TACC2
T001918,p17@TACC2
T001919,p18@TACC2
T001923,p36@TACC2
T001924,p14@TACC2
T001926,p7@BTBD16
T001927,p11@BTBD16
T001928,p2@BTBD16
T001929,p9@BTBD16
T001930,p3@BTBD16
T001931,p6@BTBD16
T001932,p15@BTBD16
T001934,p16@BTBD16
T001935,p1@BTBD16
T001936,p3@PLEKHA1
T001937,p2@PLEKHA1
T001938,p1@PLEKHA1
T001939,p4@PLEKHA1
T001940,p10@PLEKHA1
T001942,p1@ARMS2
T001943,p5@HTRA1
T001944,p4@HTRA1
T001945,p2@HTRA1
T001946,p1@HTRA1
T001947,p3@HTRA1
T001951,p7@HTRA1
T001959,p2@DMBT1
T001960,p3@DMBT1
T001961,p1@DMBT1
T001964,p2@C10orf120
T001965,p1@C10orf120
T001971,p2@CUZD1
T001972,p1@CUZD1
T001975,p10@ADARB2
T001976,p19@ADARB2
T001977,p20@ADARB2
T001978,p7@ADARB2
T001979,p17@ADARB2
T001980,p4@ADARB2
T001981,p14@ADARB2
T001982,p1@FAM24B
